COD,REF,Regiao,Estado,Area_Estudo,Referencia,Longitude,Latitude,n_amostral,Especie,Nome comum,ID,Ano_Coleta,Forma_Coleta,Sexo,Maturidade,"Estagio
Desenvolvimento",Idade,Idade_Mean,Idade_Median,Idade_SD,Idade_Min,Idade_Max,Comp_cm,Comp_Mean,Comp_Median,Comp_SD,Comp_Min,Comp_Max,Peso_Kg,Tecido,Lipidios_%,Lipidios_Mean,Lipidios_Median,Lipidios_SD,Lipidios_Min,Lipidios_Max,∑PCBs_ng/g,∑PCBs_Mean,∑PCBs_Median,∑PCBs_SD,∑PCBs_Min,∑PCBs_Max,∑DDTs_ng/g,∑DDTs_Mean,∑DDTs_Median,∑DDTs_SD,∑DDTs_Min,∑DDTs_Max,Drins_ng/g,Drins_Mean,Drins_Median,Drins_SD,Drins_Min,Drins_Max,CHLs_ng/g,CHLs_Mean,CHLs_Median,CHLs_SD,CHLs_Min,CHLs_Max,Heptacloro_ng/g,Heptacloro_Mean,Heptacloro_Median,Heptacloro_SD,Heptacloro_Min,Heptacloro_Max,∑HCH_ng/g,∑HCH_Mean,∑HCH_Median,∑HCH_SD,∑HCH_Min,∑HCH_Max,HCB_ng/g,HCB_Mean,HCB_Median,HCB_SD,HCB_Min.,HCB_Max,Mirex_ng/g,Mirex_Mean,Mirex_Median,Mirex_SD,Mirex_Min,Mirex_Max,Obs
A21,POP03,SE/S,SP/PR,São Paulo/Paraná,Kajiwara et al. 2004,48.012430W,25.256694S,1,Stenella frontalis,Atlantic spotted dolphin,NA,1997/99,Captura incidental ,M,M,NA,15,NA,NA,NA,NA,NA,198,NA,NA,NA,NA,NA,NA,Blubber,18,NA,NA,NA,NA,NA,60000,NA,NA,NA,NA,NA,48000,NA,NA,NA,NA,NA,160,NA,NA,NA,NA,NA,690,NA,NA,NA,NA,NA,84,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Heptacloro epoxide
A22,POP03,SE/S,SP/PR,São Paulo/Paraná,Kajiwara et al. 2004,48.012430W,25.256694S,1,Delphinus delphis,"Long-beaked common
dolphin",NA,1997/99,Captura incidental ,M,M,NA,NA,NA,NA,NA,NA,NA,213,NA,NA,NA,NA,NA,NA,Blubber,57,NA,NA,NA,NA,NA,17000,NA,NA,NA,NA,NA,11000,NA,NA,NA,NA,NA,200,NA,NA,NA,NA,NA,200,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Heptacloro epoxide
Delphinus capensis"
A23,POP04,S,RS,Rio Grande do Sul,Fillmann et al. 2007,52.17212W,32.22315S,1,Arctocephalus australis,South American fur seal,1,1999,Encalhe,F,I,Juvenil,NA,NA,NA,NA,NA,NA,77.4,NA,NA,NA,NA,NA,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A24,POP04,S,RS,Rio Grande do Sul,Fillmann et al. 2007,52.17212W,32.22315S,1,Arctocephalus australis,South American fur seal,2,1999,Encalhe,F,I,Juvenil,NA,NA,NA,NA,NA,NA,91.7,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A25,POP04,S,RS,Rio Grande do Sul,Fillmann et al. 2007,52.17212W,32.22315S,1,Arctocephalus australis,South American fur seal,3,1999,Encalhe,M,I,Juvenil,NA,NA,NA,NA,NA,NA,81.7,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A26,POP04,S,RS,Rio Grande do Sul,Fillmann et al. 2007,52.17212W,32.22315S,1,Arctocephalus australis,South American fur seal,4,1999,Encalhe,F,I,Juvenil,NA,NA,NA,NA,NA,NA,125.9,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A27,POP04,S,RS,Rio Grande do Sul,Fillmann et al. 2007,52.17212W,32.22315S,1,Arctocephalus australis,South American fur seal,5,1999,Encalhe,F,I,Juvenil,NA,NA,NA,NA,NA,NA,93.9,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A28,POP04,S,RS,Rio Grande do Sul,Fillmann et al. 2007,52.17212W,32.22315S,1,Arctocephalus australis,South American fur seal,6,1999,Encalhe,M,I,Juvenil,NA,NA,NA,NA,NA,NA,102.5,NA,NA,NA,NA,NA,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A29,POP04,S,RS,Rio Grande do Sul,Fillmann et al. 2007,52.17212W,32.22315S,1,Arctocephalus australis,South American fur seal,7,1999,Encalhe,F,I,Juvenil,NA,NA,NA,NA,NA,NA,76.4,NA,NA,NA,NA,NA,16.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A30,POP04,S,RS,Rio Grande do Sul,Fillmann et al. 2007,52.17212W,32.22315S,1,Arctocephalus australis,South American fur seal,8,1999,Encalhe,M,I,Juvenil,NA,NA,NA,NA,NA,NA,72.1,NA,NA,NA,NA,NA,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A31,POP04,S,RS,Rio Grande do Sul,Fillmann et al. 2007,52.17212W,32.22315S,8,Arctocephalus australis,South American fur seal,NA,1999,Encalhe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blubber,NA,31.6,NA,27.3,NA,NA,NA,2500,NA,1300,940,4390,NA,660,NA,2000,20,2800,NA,NA,NA,NA,NA,NA,NA,190,NA,480,4.90,600,NA,NA,NA,NA,NA,NA,NA,2.10,NA,4.20,"<0,04",5.90,NA,1.10,NA,1.30,0.22,4.10,NA,NA,NA,NA,NA,NA,
A32,POP04,S,RS,Rio Grande do Sul,Fillmann et al. 2007,52.17212W,32.22315S,8,Arctocephalus australis,South American fur seal,NA,1999,Encalhe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Skin,NA,8,NA,6,NA,NA,NA,670,NA,410,320,1470,NA,440,NA,1420,10,2070,NA,NA,NA,NA,NA,NA,NA,30,NA,70,2.60,100,NA,NA,NA,NA,NA,NA,NA,0.5,NA,0.84,"<0,04",1.20,NA,0.7,NA,0.7,0.04,2,NA,NA,NA,NA,NA,NA,
A33,POP04,S,RS,Rio Grande do Sul,Fillmann et al. 2007,52.17212W,32.22315S,8,Arctocephalus australis,South American fur seal,NA,1999,Encalhe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Muscle,NA,5.5,NA,3.6,NA,NA,NA,1100,NA,2100,50,6400,NA,100,NA,280,4,390,NA,NA,NA,NA,NA,NA,NA,30,NA,100,0.9,140,NA,NA,NA,NA,NA,NA,NA,0.36,NA,1.10,"<0,04",1.50,NA,0.6,NA,0.95,0.02,2.70,NA,NA,NA,NA,NA,NA,
A34,POP04,S,RS,Rio Grande do Sul,Fillmann et al. 2007,52.17212W,32.22315S,8,Arctocephalus australis,South American fur seal,NA,1999,Encalhe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liver,NA,8.6,NA,3.3,NA,NA,NA,2400,NA,4500,120,14200,NA,200,NA,420,15,630,NA,NA,NA,NA,NA,NA,NA,16,NA,40,1.30,60,NA,NA,NA,NA,NA,NA,NA,0.2,NA,0.3,"<0,04",0.5,NA,1.7,NA,3.9,0.01,11.40,NA,NA,NA,NA,NA,NA,
A35,POP04,S,RS,Rio Grande do Sul,Fillmann et al. 2007,52.17212W,32.22315S,8,Arctocephalus australis,South American fur seal,NA,1999,Encalhe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kidney,NA,8.9,NA,2.5,NA,NA,NA,300,NA,170,80,570,NA,50,NA,150,12,220,NA,NA,NA,NA,NA,NA,NA,11,NA,25,0.5,35,NA,NA,NA,NA,NA,NA,NA,0.11,NA,0.28,"<0,04",0.4,NA,0.03,NA,0.06,"<0,01",0.16,NA,NA,NA,NA,NA,NA,
A36,POP04,S,RS,Rio Grande do Sul,Fillmann et al. 2007,52.17212W,32.22315S,8,Arctocephalus australis,South American fur seal,NA,1999,Encalhe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adrenal gland,NA,9.2,NA,3.6,NA,NA,NA,670,NA,570,120,1800,NA,120,NA,180,1,260,NA,NA,NA,NA,NA,NA,NA,35,NA,98,0.6,140,NA,NA,NA,NA,NA,NA,NA,0.6,NA,1.10,"<0,04",1.50,NA,0.7,NA,1.10,"<0,01",3.20,NA,NA,NA,NA,NA,NA,
